"","name","date","hits","geo"
"285","cory booker",2019-03-03,22,"US-IA"
"286","cory booker",2019-03-10,31,"US-IA"
"287","cory booker",2019-03-17,42,"US-IA"
"288","cory booker",2019-03-24,18,"US-IA"
"289","cory booker",2019-03-31,14,"US-IA"
"290","cory booker",2019-04-07,9,"US-IA"
"291","cory booker",2019-04-14,28,"US-IA"
"292","cory booker",2019-04-21,13,"US-IA"
"293","cory booker",2019-04-28,19,"US-IA"
"294","cory booker",2019-05-05,12,"US-IA"
"295","cory booker",2019-05-12,19,"US-IA"
"296","cory booker",2019-05-19,30,"US-IA"
"297","cory booker",2019-05-26,24,"US-IA"
"298","cory booker",2019-06-02,28,"US-IA"
"299","cory booker",2019-06-09,23,"US-IA"
"300","cory booker",2019-06-16,23,"US-IA"
"301","cory booker",2019-06-23,45,"US-IA"
"302","cory booker",2019-06-30,28,"US-IA"
"303","cory booker",2019-07-07,11,"US-IA"
"304","cory booker",2019-07-14,25,"US-IA"
"305","cory booker",2019-07-21,25,"US-IA"
"306","cory booker",2019-07-28,46,"US-IA"
"307","cory booker",2019-08-04,25,"US-IA"
"308","cory booker",2019-08-11,31,"US-IA"
"309","cory booker",2019-08-18,20,"US-IA"
"310","cory booker",2019-08-25,16,"US-IA"
"311","cory booker",2019-09-01,12,"US-IA"
"312","cory booker",2019-09-08,24,"US-IA"
"313","cory booker",2019-09-15,25,"US-IA"
"314","cory booker",2019-09-22,20,"US-IA"
"315","cory booker",2019-09-29,25,"US-IA"
"316","cory booker",2019-10-06,38,"US-IA"
"317","cory booker",2019-10-13,27,"US-IA"
"318","cory booker",2019-10-20,13,"US-IA"
"319","cory booker",2019-10-27,31,"US-IA"
"320","cory booker",2019-11-03,29,"US-IA"
"321","elizabeth warren",2019-02-03,49,"US-PA"
"322","elizabeth warren",2019-02-10,40,"US-PA"
"323","elizabeth warren",2019-02-17,22,"US-PA"
"324","elizabeth warren",2019-02-24,9,"US-PA"
"325","elizabeth warren",2019-03-03,14,"US-PA"
"326","elizabeth warren",2019-03-10,16,"US-PA"
"327","elizabeth warren",2019-03-17,22,"US-PA"
"328","elizabeth warren",2019-03-24,12,"US-PA"
"329","elizabeth warren",2019-03-31,12,"US-PA"
"330","elizabeth warren",2019-04-07,10,"US-PA"
"331","elizabeth warren",2019-04-14,14,"US-PA"
"332","elizabeth warren",2019-04-21,48,"US-PA"
"333","elizabeth warren",2019-04-28,16,"US-PA"
"334","elizabeth warren",2019-05-05,13,"US-PA"
"335","elizabeth warren",2019-05-12,24,"US-PA"
"336","elizabeth warren",2019-05-19,13,"US-PA"
"337","elizabeth warren",2019-05-26,16,"US-PA"
"338","elizabeth warren",2019-06-02,23,"US-PA"
"339","elizabeth warren",2019-06-09,28,"US-PA"
"340","elizabeth warren",2019-06-16,27,"US-PA"
"341","elizabeth warren",2019-06-23,65,"US-PA"
"342","elizabeth warren",2019-06-30,26,"US-PA"
"343","elizabeth warren",2019-07-07,21,"US-PA"
"344","elizabeth warren",2019-07-14,21,"US-PA"
"345","elizabeth warren",2019-07-21,17,"US-PA"
"346","elizabeth warren",2019-07-28,49,"US-PA"
"347","elizabeth warren",2019-08-04,31,"US-PA"
"348","elizabeth warren",2019-08-11,28,"US-PA"
"349","elizabeth warren",2019-08-18,34,"US-PA"
"350","elizabeth warren",2019-08-25,33,"US-PA"
"351","elizabeth warren",2019-09-01,27,"US-PA"
"352","elizabeth warren",2019-09-08,58,"US-PA"
"353","elizabeth warren",2019-09-15,59,"US-PA"
"354","elizabeth warren",2019-09-22,46,"US-PA"
"355","elizabeth warren",2019-09-29,69,"US-PA"
"356","elizabeth warren",2019-10-06,60,"US-PA"
"357","elizabeth warren",2019-10-13,79,"US-PA"
"358","elizabeth warren",2019-10-20,33,"US-PA"
"359","elizabeth warren",2019-10-27,31,"US-PA"
"360","elizabeth warren",2019-11-03,52,"US-PA"
"361","elizabeth warren",2019-02-03,54,"US-IA"
"362","elizabeth warren",2019-02-10,58,"US-IA"
"363","elizabeth warren",2019-02-17,15,"US-IA"
"364","elizabeth warren",2019-02-24,25,"US-IA"
"365","elizabeth warren",2019-03-03,8,"US-IA"
"366","elizabeth warren",2019-03-10,11,"US-IA"
"367","elizabeth warren",2019-03-17,21,"US-IA"
"368","elizabeth warren",2019-03-24,23,"US-IA"
"369","elizabeth warren",2019-03-31,20,"US-IA"
"370","elizabeth warren",2019-04-07,12,"US-IA"
"371","elizabeth warren",2019-04-14,16,"US-IA"
"372","elizabeth warren",2019-04-21,38,"US-IA"
"373","elizabeth warren",2019-04-28,36,"US-IA"
"374","elizabeth warren",2019-05-05,19,"US-IA"
"375","elizabeth warren",2019-05-12,39,"US-IA"
"376","elizabeth warren",2019-05-19,12,"US-IA"
"377","elizabeth warren",2019-05-26,22,"US-IA"
"378","elizabeth warren",2019-06-02,34,"US-IA"
"379","elizabeth warren",2019-06-09,46,"US-IA"
"380","elizabeth warren",2019-06-16,38,"US-IA"
"381","elizabeth warren",2019-06-23,89,"US-IA"
"382","elizabeth warren",2019-06-30,39,"US-IA"
"383","elizabeth warren",2019-07-07,15,"US-IA"
"384","elizabeth warren",2019-07-14,39,"US-IA"
"385","elizabeth warren",2019-07-21,21,"US-IA"
"386","elizabeth warren",2019-07-28,58,"US-IA"
"387","elizabeth warren",2019-08-04,59,"US-IA"
"388","elizabeth warren",2019-08-11,40,"US-IA"
"389","elizabeth warren",2019-08-18,57,"US-IA"
"390","elizabeth warren",2019-08-25,33,"US-IA"
"391","elizabeth warren",2019-09-01,24,"US-IA"
"392","elizabeth warren",2019-09-08,61,"US-IA"
"393","elizabeth warren",2019-09-15,84,"US-IA"
"394","elizabeth warren",2019-09-22,67,"US-IA"
"395","elizabeth warren",2019-09-29,75,"US-IA"
"396","elizabeth warren",2019-10-06,85,"US-IA"
"397","elizabeth warren",2019-10-13,100,"US-IA"
"398","elizabeth warren",2019-10-20,89,"US-IA"
"399","elizabeth warren",2019-10-27,69,"US-IA"
"400","elizabeth warren",2019-11-03,86,"US-IA"
"401","joe biden",2019-02-03,7,"US-PA"
"402","joe biden",2019-02-10,8,"US-PA"
"403","joe biden",2019-02-17,21,"US-PA"
"404","joe biden",2019-02-24,11,"US-PA"
"405","joe biden",2019-03-03,12,"US-PA"
"406","joe biden",2019-03-10,21,"US-PA"
"407","joe biden",2019-03-17,23,"US-PA"
"408","joe biden",2019-03-24,15,"US-PA"
"409","joe biden",2019-03-31,79,"US-PA"
"410","joe biden",2019-04-07,20,"US-PA"
"411","joe biden",2019-04-14,15,"US-PA"
"412","joe biden",2019-04-21,100,"US-PA"
"413","joe biden",2019-04-28,51,"US-PA"
"414","joe biden",2019-05-05,26,"US-PA"
"415","joe biden",2019-05-12,28,"US-PA"
"416","joe biden",2019-05-19,20,"US-PA"
"417","joe biden",2019-05-26,14,"US-PA"
"418","joe biden",2019-06-02,14,"US-PA"
"419","joe biden",2019-06-09,17,"US-PA"
"420","joe biden",2019-06-16,17,"US-PA"
"421","joe biden",2019-06-23,37,"US-PA"
"422","joe biden",2019-06-30,18,"US-PA"
"423","joe biden",2019-07-07,13,"US-PA"
"424","joe biden",2019-07-14,10,"US-PA"
"425","joe biden",2019-07-21,9,"US-PA"
"426","joe biden",2019-07-28,35,"US-PA"
"427","joe biden",2019-08-04,25,"US-PA"
"428","joe biden",2019-08-11,14,"US-PA"
"429","joe biden",2019-08-18,15,"US-PA"
"430","joe biden",2019-08-25,13,"US-PA"
"431","joe biden",2019-09-01,18,"US-PA"
"432","joe biden",2019-09-08,27,"US-PA"
"433","joe biden",2019-09-15,20,"US-PA"
"434","joe biden",2019-09-22,35,"US-PA"
"435","joe biden",2019-09-29,25,"US-PA"
"436","joe biden",2019-10-06,17,"US-PA"
"437","joe biden",2019-10-13,21,"US-PA"
"438","joe biden",2019-10-20,15,"US-PA"
"439","joe biden",2019-10-27,15,"US-PA"
"440","joe biden",2019-11-03,14,"US-PA"
"441","joe biden",2019-02-03,6,"US-IA"
"442","joe biden",2019-02-10,6,"US-IA"
"443","joe biden",2019-02-17,16,"US-IA"
"444","joe biden",2019-02-24,6,"US-IA"
"445","joe biden",2019-03-03,10,"US-IA"
"446","joe biden",2019-03-10,22,"US-IA"
"447","joe biden",2019-03-17,23,"US-IA"
"448","joe biden",2019-03-24,16,"US-IA"
"449","joe biden",2019-03-31,56,"US-IA"
"450","joe biden",2019-04-07,17,"US-IA"
"451","joe biden",2019-04-14,13,"US-IA"
"452","joe biden",2019-04-21,67,"US-IA"
"453","joe biden",2019-04-28,53,"US-IA"
"454","joe biden",2019-05-05,18,"US-IA"
"455","joe biden",2019-05-12,16,"US-IA"
"456","joe biden",2019-05-19,9,"US-IA"
"457","joe biden",2019-05-26,13,"US-IA"
"458","joe biden",2019-06-02,7,"US-IA"
"459","joe biden",2019-06-09,38,"US-IA"
"460","joe biden",2019-06-16,14,"US-IA"
"461","joe biden",2019-06-23,32,"US-IA"
"462","joe biden",2019-06-30,32,"US-IA"
"463","joe biden",2019-07-07,8,"US-IA"
"464","joe biden",2019-07-14,15,"US-IA"
"465","joe biden",2019-07-21,12,"US-IA"
"466","joe biden",2019-07-28,30,"US-IA"
"467","joe biden",2019-08-04,38,"US-IA"
"468","joe biden",2019-08-11,22,"US-IA"
"469","joe biden",2019-08-18,17,"US-IA"
"470","joe biden",2019-08-25,15,"US-IA"
"471","joe biden",2019-09-01,27,"US-IA"
"472","joe biden",2019-09-08,36,"US-IA"
"473","joe biden",2019-09-15,21,"US-IA"
"474","joe biden",2019-09-22,31,"US-IA"
"475","joe biden",2019-09-29,27,"US-IA"
"476","joe biden",2019-10-06,24,"US-IA"
"477","joe biden",2019-10-13,24,"US-IA"
"478","joe biden",2019-10-20,12,"US-IA"
"479","joe biden",2019-10-27,19,"US-IA"
"480","joe biden",2019-11-03,17,"US-IA"
"481","julian castro",2019-02-03,3,"US-PA"
"482","julian castro",2019-02-10,8,"US-PA"
"483","julian castro",2019-02-17,5,"US-PA"
"484","julian castro",2019-02-24,8,"US-PA"
"485","julian castro",2019-03-03,2,"US-PA"
"486","julian castro",2019-03-10,7,"US-PA"
"487","julian castro",2019-03-17,4,"US-PA"
